Column,Non-NA Percentage,description,unit,source
country,100.0,Country - Geographic location.,,Our World in Data - Regions (2023)
year,100.0,Year - Year of observation.,,Our World in Data - Regions (2023)
primary_energy_consumption,88.16639135005256,Primary energy consumption - Measured in terawatt-hours.,terawatt-hours,U.S. Energy Information Administration - International Energy Data (2023) [https://www.eia.gov/opendata/bulkfiles.php]; Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
energy_cons_change_twh,88.09130500075086,Annual change in primary energy consumption,terawatt-hours,U.S. Energy Information Administration - International Energy Data (2023) [https://www.eia.gov/opendata/bulkfiles.php]; Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
electricity_generation,88.01621865144917,Total electricity generation - Measured in terawatt-hours.,terawatt-hours,Ember - Yearly Electricity Data (2024) [https://ember-climate.org/data-catalogue/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
renewables_electricity,88.00120138158883,Electricity generation from renewables - Measured in terawatt-hours.,terawatt-hours,Ember - Yearly Electricity Data (2024) [https://ember-climate.org/data-catalogue/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
solar_electricity,87.94113230214748,Electricity generation from solar power - Measured in terawatt-hours.,terawatt-hours,Ember - Yearly Electricity Data (2024) [https://ember-climate.org/data-catalogue/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
wind_electricity,87.68583871452171,Electricity generation from wind power - Measured in terawatt-hours.,terawatt-hours,Ember - Yearly Electricity Data (2024) [https://ember-climate.org/data-catalogue/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
solar_share_elec,87.59573509535966,Share of electricity generated by solar power - Measured as a percentage of total electricity.,%,Ember - Yearly Electricity Data (2024) [https://ember-climate.org/data-catalogue/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
renewables_share_elec,87.58071782549932,Share of electricity generated by renewables - Measured as a percentage of total electricity.,%,Ember - Yearly Electricity Data (2024) [https://ember-climate.org/data-catalogue/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
wind_share_elec,87.2653551584322,Share of electricity generated by wind power - Measured as a percentage of total electricity.,%,Ember - Yearly Electricity Data (2024) [https://ember-climate.org/data-catalogue/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
other_renewable_electricity,87.04009611052712,"Electricity generation from other renewables, including bioenergy - Measured in terawatt-hours.",terawatt-hours,Ember - Yearly Electricity Data (2024) [https://ember-climate.org/data-catalogue/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
low_carbon_electricity,86.82985433248236,"Electricity generation from low-carbon sources - Low-carbon sources correspond to renewables and nuclear power, that produce significantly less greenhouse-gas emissions than fossil fuels.",terawatt-hours,Ember - Yearly Electricity Data (2024) [https://ember-climate.org/data-catalogue/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
other_renewables_share_elec,86.6946989037393,"Share of electricity generated by other renewables, including bioenergy - Measured as a percentage of total electricity.",%,Ember - Yearly Electricity Data (2024) [https://ember-climate.org/data-catalogue/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
energy_cons_change_pct,86.55954347499625,Annual change in primary energy consumption,%,U.S. Energy Information Administration - International Energy Data (2023) [https://www.eia.gov/opendata/bulkfiles.php]; Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
hydro_electricity,86.55954347499625,Electricity generation from hydropower - Measured in terawatt-hours.,terawatt-hours,Ember - Yearly Electricity Data (2024) [https://ember-climate.org/data-catalogue/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
low_carbon_share_elec,86.40937077639285,"Share of electricity generated by low-carbon sources - Low-carbon sources correspond to renewables and nuclear power, that produce significantly less greenhouse-gas emissions than fossil fuels.",%,Ember - Yearly Electricity Data (2024) [https://ember-climate.org/data-catalogue/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
fossil_electricity,86.39435350653251,Electricity generation from fossil fuels - Measured in terawatt-hours.,terawatt-hours,Ember - Yearly Electricity Data (2024) [https://ember-climate.org/data-catalogue/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
oil_electricity,86.31926715723081,Electricity generation from oil - Measured in terawatt-hours.,terawatt-hours,Ember - Yearly Electricity Data (2024) [https://ember-climate.org/data-catalogue/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
hydro_share_elec,86.21414626820844,Share of electricity generated by hydropower - Measured as a percentage of total electricity.,%,Ember - Yearly Electricity Data (2024) [https://ember-climate.org/data-catalogue/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
nuclear_electricity,86.07899083946539,Electricity generation from nuclear - Measured in terawatt-hours.,terawatt-hours,Ember - Yearly Electricity Data (2024) [https://ember-climate.org/data-catalogue/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
oil_share_elec,85.973869950443,Share of electricity generated by oil - Measured as a percentage of total electricity.,%,Ember - Yearly Electricity Data (2024) [https://ember-climate.org/data-catalogue/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
fossil_share_elec,85.973869950443,Share of electricity generated by fossil fuels - Measured as a percentage of total electricity.,%,Ember - Yearly Electricity Data (2024) [https://ember-climate.org/data-catalogue/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
coal_electricity,85.65850728337588,Electricity generation from coal - Measured in terawatt-hours.,terawatt-hours,Ember - Yearly Electricity Data (2024) [https://ember-climate.org/data-catalogue/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
coal_share_elec,85.31311007658807,Share of electricity generated by coal - Measured as a percentage of total electricity.,%,Ember - Yearly Electricity Data (2024) [https://ember-climate.org/data-catalogue/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
