country,fossil_share_elec,renewables_share_elec,low_carbon_share_elec,oil_share_elec,solar_share_elec,electricity_demand_per_capita,per_capita_electricity,fossil_elec_per_capita,renewables_elec_per_capita,low_carbon_elec_per_capita,electricity_generation,net_elec_imports_share_demand,carbon_intensity_elec,greenhouse_gas_emissions,Cluster,PCA1,PCA2,PCA3,Period
Afghanistan,-1.1445040648852296,1.296243312802177,1.1445040898251684,-0.4361695175927515,-0.32272752834912005,-0.7418401510262911,-0.7291522077616868,-0.732559431539874,-0.2742690609103658,-0.3248725743333679,-0.21699801418512585,0.3276235769541402,-1.0358965459147853,-0.18825075011697956,2,-2.284283402150668,-1.3835819847124613,0.6660914983145557,2002-2006
Albania,-1.8848259676530355,2.060931065924372,1.884825985523877,-0.8273186817354222,-0.32272752834912005,-0.38300230118122497,-0.4267602886367413,-0.7230235306074775,0.10847331771741638,0.037656090713858406,-0.20832957704378732,0.3262982650912806,-1.768054670734357,-0.18820249685010038,2,-3.8529039309090884,-0.8729464916098394,0.9234981341192297,2002-2006
Algeria,0.9916849434801536,-0.9102530328335522,-0.9916848981424288,-0.8423016749989362,-0.32272752834912005,-0.5647359227951407,-0.5521846688260428,-0.4477166313332107,-0.27851357881291133,-0.32889292717356206,-0.1530041838603236,-0.01954437040687885,0.6261467735819587,-0.11998616413063642,0,1.2370250373458525,-0.6409340763019007,-0.048649642240382776,2002-2006
American Samoa,1.0164065072046917,-0.9357882452155006,-1.0164064616309085,1.6440363218144678,-0.32272752834912005,-0.12604053075806781,-0.11642874399211471,0.24333417969504678,-0.28052105020964396,-0.33079437829634384,-0.21832809184173335,-0.021621147758988633,0.8133035156865847,-0.1884506565083361,0,2.1960116766366133,-0.22063428546851466,-0.5249993064749262,2002-2006
Angola,-1.2209248524103349,1.3751793000881425,1.2209248766205556,-0.2617882193418975,-0.32272752834912005,-0.7264894718961982,-0.7126047540747078,-0.7267513961067843,-0.25764502988996074,-0.3091265056718881,-0.21388338092654968,-0.021621147758988633,-1.1994656852224908,-0.18752005778995212,2,-2.466129668214095,-1.3642507270210191,0.3228681791862691,2002-2006
Antigua and Barbuda,1.0164065072046917,-0.9357882452155006,-1.0164064616309085,1.6440363218144678,-0.32272752834912005,-0.2090118494919671,-0.1988096199751867,0.11315345904396648,-0.28052105020964396,-0.33079437829634384,-0.21825304043791224,-0.021621147758988633,0.7359735207050072,-0.1883817232699373,0,2.1371989106575278,-0.3676321424846425,-0.5326323936812117,2002-2006
Argentina,-0.27360312513880386,0.17317483389837215,0.2736031583946972,-0.8017301492972593,-0.32272752834912005,-0.23984069061393537,-0.2497749547410307,-0.297111404779865,-0.056431928698610745,-0.07554646096854985,-0.011870018974720838,0.0723940164506655,-0.5818174254600725,-0.07350448147831778,2,-0.941848819205075,-0.2733526125868364,0.36372597294183845,2002-2006
Armenia,-1.1187738231622737,0.0662931397733502,1.1187738483479022,-0.8980392234033829,-0.32272752834912005,-0.4291834646476317,-0.3868123106928385,-0.5786183424568148,-0.13440264305083663,-0.025262600647063215,-0.20696614320770376,-0.24010632300627527,-1.2231259696221133,-0.18546584728566756,2,-2.0724032633407545,-0.6242727070056269,0.1860259632236444,2002-2006
Aruba,1.0164065072046917,-0.9357882452155006,-1.0164064616309085,1.6440363218144678,-0.32272752834912005,1.0247403839799771,1.0261629523597948,2.0488917034047534,-0.28052105020964396,-0.33079437829634384,-0.21690628469156675,-0.021621147758988633,0.7193358942731337,-0.18692033861588248,0,2.509346490323366,1.7774473176500665,-0.35338166583928715,2002-2006
Australia,0.7621062499349203,-0.6731183287602425,-0.7621062067893691,-0.8586980622655913,-0.30985734789974073,1.4480601811717646,1.4464703097187865,2.419184735516613,-0.04033133872734024,-0.10328976860576326,0.2596909771846726,-0.021621147758988633,1.264288822586278,0.43782160099254686,0,1.6831797865302076,2.991706004717717,0.32020318910225015,2002-2006
