Country,Non-NA Percentage
United States,99.93589743589745
United Kingdom,99.45512820512822
Germany,99.00641025641026
Romania,98.49358974358974
Colombia,98.42948717948718
Norway,98.01282051282051
Indonesia,97.94871794871796
Czechia,97.91666666666667
Spain,97.88461538461539
Poland,97.75641025641026
Canada,97.62820512820514
Mexico,97.59615384615384
India,97.59615384615384
Hungary,97.59615384615384
Italy,97.56410256410257
China,97.5
Ukraine,97.37179487179488
Brazil,97.21153846153847
Bulgaria,97.1474358974359
Greece,96.95512820512819
France,96.89102564102565
New Zealand,96.85897435897435
World,96.79487179487181
Turkey,96.7948717948718
Denmark,96.69871794871796
Australia,96.66666666666667
Slovakia,96.63461538461539
Netherlands,96.57051282051282
Thailand,96.25
Peru,96.18589743589743
North America,96.15384615384616
High-income countries,96.15384615384616
European Union (27),96.15384615384616
Slovenia,96.15384615384616
South America,96.15384615384616
Europe,96.15384615384616
Upper-middle-income countries,96.15384615384616
Lower-middle-income countries,96.12179487179486
Asia,96.12179487179486
Africa,95.99358974358975
Austria,95.92948717948718
Philippines,95.92948717948718
Sweden,95.5448717948718
South Africa,95.5448717948718
Finland,95.48076923076924
Israel,95.28846153846153
Japan,95.28846153846153
Oceania,95.1923076923077
Belgium,95.16025641025642
Argentina,95.06410256410257
Russia,94.96794871794872
Lithuania,94.96794871794872
Switzerland,94.90384615384615
Ireland,94.87179487179488
Portugal,94.61538461538461
Luxembourg,94.55128205128204
South Korea,94.51923076923077
Ecuador,94.51923076923077
Estonia,94.23076923076923
Malaysia,94.23076923076923
Latvia,94.19871794871796
Taiwan,94.19871794871794
Croatia,94.16666666666667
Pakistan,94.16666666666667
Belarus,94.03846153846153
North Macedonia,93.75
Kazakhstan,93.46153846153847
Venezuela,93.17307692307692
Bangladesh,92.82051282051282
Uzbekistan,92.53205128205128
Vietnam,92.17948717948718
Iran,91.9551282051282
Azerbaijan,91.76282051282053
Algeria,91.53846153846153
Morocco,91.37820512820514
Egypt,91.25
Chile,89.83974358974358
Hong Kong,84.90384615384615
