country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_demand_per_capita,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
Vietnam,2002,VNM,80642304.0,250683375616.0,,,,,0.0,0.0,0.0,,344.413,14.194,8.46,843.961,68.059,60.514,4.88,22.483,19.617,1325.225,106.869,13.631,25.706,35.8,443.936,35.8,15.576,9.383,22.71,3283.082,1.056,12.247,23.091,218.248,17.6,2624.408,211.638,49.162,79.937,20.0,3.86,23.16,103.296,8.33,287.194,20.0,3.86,287.194,23.16,23.268,8.748,12.33,-0.066,-0.38,53.117,225.688,18.2,658.674,50.838,20.063,-0.066,-0.38,53.117,225.688,18.2,658.674,50.838,20.063,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.823,10.771,120.419,54.438,4.39,1493.253,0.673,1.337,2482.265,200.176,12.263,45.483,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,443.936,264.755,-0.066,-0.38,53.117,225.688,18.2,658.674,50.838,20.063,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,2002,URY,3306446.0,37250867200.0,,,,,12.098,0.04,0.417,,27.083,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,7.87,2380.199,9.6,,-11.195,-5.893,14137.804,1.255,,,9.073,0.03,,,0.312,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.26,,,,2882.249,9.53,,99.271,,,,,2894.346,9.57,,99.687,,-1.73,-21.982,,,,0.0,0.0,,0.0,,,,,9.073,0.03,,,0.0,0.0,0.0,0.312,,,0.04,0.0,,,12.098,0.0,,0.417,0.0,,2903.42,46.746,,,,2894.346,9.57,,99.687,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,
Uzbekistan,2002,UZB,25579032.0,122757824512.0,,,,,0.0,0.0,0.0,,1049.393,6.498,0.599,384.025,9.823,78.971,2.02,0.937,0.083,349.3,8.935,4.089,1.607,49.32,1928.142,49.4,8.245,2.516,15.0,23892.764,4.979,2.527,14.621,1695.92,43.38,23186.879,593.098,87.814,97.046,2.982,14.63,505.216,1435.16,36.71,19751.188,2.469,12.705,20616.643,527.354,74.312,82.666,51.84,2.809,0.379,18.056,235.349,6.02,705.887,12.186,2.954,2.809,0.379,18.056,235.349,6.02,705.887,12.186,2.954,-0.08,-0.162,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.774,-0.609,78.059,181.79,4.65,3051.666,0.294,0.247,3288.941,84.128,9.413,12.772,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1931.269,611.154,2.809,0.379,18.056,235.349,6.02,705.887,12.186,2.954,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zimbabwe,2002,ZWE,11984643.0,24872480768.0,,,,,0.0,0.0,0.0,,487.179,,,,,397.175,4.76,-12.707,-4.299,2464.193,29.532,55.478,,12.59,1050.511,8.58,,-0.553,-0.304,4561.243,2.198,,,398.009,4.77,,,55.594,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,4.18,,,,317.907,3.81,,44.406,,,,,317.907,3.81,,44.406,,4.01,31.851,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.834,0.01,,,0.0,0.0,0.0,0.117,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,715.916,54.665,,,,317.907,3.81,,44.406,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,
Yemen,2002,YEM,19660662.0,78586478592.0,,,,,0.0,0.0,0.0,,657.825,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,3.77,191.753,3.77,,0.876,0.567,3320.324,0.831,,,191.753,3.77,,,100.0,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,2.48,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,191.753,3.77,,0.548,1.365,12747.662,250.627,100.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,191.753,65.28,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,
United States Virgin Islands,2002,VIR,107742.0,,,,,,0.0,0.0,0.0,,653.846,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,1.04,9652.688,1.04,,-1.052,-0.593,517419.844,,,,9652.688,1.04,,,100.0,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.68,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,9652.688,1.04,,,0.0,0.0,0.0,100.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,9652.688,55.748,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,
Zambia,2002,ZMB,10508294.0,17827940352.0,,,,,0.0,0.0,0.0,,29.412,,,,,1.903,0.02,-14.979,-0.248,134.195,1.41,0.245,,7.37,701.351,8.16,,3.4,1.039,3006.324,1.772,,,5.71,0.06,,,0.735,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.24,,,,770.82,8.1,,99.265,,,,,770.82,8.1,,99.265,,-0.79,-10.719,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3.807,0.04,,,0.0,0.0,0.0,0.49,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,776.529,31.591,,,,770.82,8.1,,99.265,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,
Vanuatu,2002,VUT,202141.0,,,,,,0.0,0.0,0.0,,600.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.05,247.352,0.05,,-4.571,-0.019,2008.195,,,,247.352,0.05,,,100.0,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.03,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,247.352,0.05,,,0.0,0.0,0.0,100.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,247.352,0.406,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,
Venezuela,2002,VEN,25330926.0,314003718144.0,,,,,0.0,0.0,0.0,,274.143,-62.687,-0.357,8.379,0.212,0.0,0.0,5.332,3.481,2714.792,68.768,0.0,0.026,91.99,3631.529,91.85,13.091,-0.142,-1.16,32207.334,2.598,0.412,2.633,1275.911,32.32,25347.348,642.072,35.188,78.701,-3.979,-13.07,315.412,748.887,18.97,12451.659,-3.979,-13.07,12451.659,315.412,20.653,38.661,25.18,-1.501,-3.793,173.77,2350.092,59.53,6859.989,64.812,21.299,-1.501,-3.793,173.77,2350.092,59.53,6859.989,64.812,21.299,0.14,0.152,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.174,16.06,326.447,527.024,13.35,12887.309,-6.339,-120.195,70106.945,1775.874,14.535,40.014,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3626.002,815.842,-1.501,-3.793,173.77,2350.092,59.53,6859.989,64.812,21.299,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,2002,AFG,21000258.0,18804871168.0,,,,,0.0,0.0,0.0,,169.014,,,,,1.905,0.04,-19.231,-0.029,5.806,0.122,5.634,,0.81,38.571,0.71,,-5.058,-0.236,210.862,0.235,,,7.143,0.15,,,21.127,,,,,0.0,0.0,,0.0,0.0,25.823,0.542,0.0,,0.12,,,,26.666,0.56,,78.873,,,,,26.666,0.56,,78.873,,0.1,12.346,,,,0.0,0.0,,0.0,,,,,5.238,0.11,,,0.0,0.0,0.0,15.493,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,33.809,4.428,,,,26.666,0.56,,78.873,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,
